,assists,visionScore,timeCCingOthers,deaths,kills,longestTimeSpentLiving,champLevel,totalHeal,totalDamageDealtToChampions
0,25,50,16,5,17,1144,18,5174,42926
1,15,40,21,14,24,534,18,5230,74122
2,22,52,33,17,8,535,18,4231,33462
3,29,51,31,7,7,756,18,22912,30497
4,20,36,50,10,10,466,18,6750,48215
5,12,29,55,15,8,1003,18,19872,29891
6,12,39,14,13,14,447,18,10520,53361
7,16,76,72,15,11,756,18,8853,28391
8,18,70,55,12,8,955,18,11545,52869
9,13,54,82,11,12,1220,18,4484,71334
10,14,36,68,8,3,707,18,4630,24019
11,16,27,83,10,8,639,18,6996,40472
12,14,30,5,12,9,792,18,7162,29164
13,17,49,15,15,8,472,18,23415,32233
14,11,37,11,13,19,463,18,11549,51695
15,29,75,122,6,1,971,18,9381,25572
16,17,24,17,13,12,490,18,11067,45320
17,18,38,29,11,4,569,18,6670,26990
18,10,52,47,6,29,806,18,10644,68074
19,16,62,53,11,11,520,18,16451,37102
20,10,34,18,6,7,804,17,6125,20765
21,10,28,48,8,3,968,17,4080,32378
22,5,44,21,3,10,1379,18,12553,20436
23,8,27,50,8,3,812,17,3138,19665
24,9,35,7,6,5,913,18,3976,17132
25,4,57,14,6,10,798,18,6443,35045
26,9,60,25,6,8,694,18,24235,24541
27,17,81,47,5,5,780,18,5535,17200
28,13,32,17,7,0,714,18,3122,11383
29,8,19,33,4,8,803,18,8879,24911
30,13,45,8,9,10,461,18,4380,27737
31,23,34,89,5,2,1549,18,1719,38718
32,17,42,28,8,8,900,18,9283,33627
33,16,35,31,6,8,1230,18,8688,16485
34,8,32,13,11,10,528,18,15046,31009
35,21,95,66,7,3,1136,18,9920,11824
36,18,55,25,8,3,600,18,15878,14592
37,9,8,23,8,8,686,18,4117,23503
38,10,21,17,9,12,595,18,2526,28564
39,10,38,4,6,13,1135,18,9677,47951
40,17,43,86,10,6,823,18,3627,40589
41,17,42,18,9,8,516,18,12205,51355
42,11,42,34,11,13,837,18,12920,26213
43,13,16,60,5,10,838,18,4369,31312
44,8,42,37,5,9,990,18,22550,30205
45,10,42,25,5,11,915,18,23687,29167
46,12,37,58,9,7,756,18,4964,28953
47,12,22,56,12,12,488,18,6179,47029
48,9,24,30,9,10,818,18,2224,36652
49,23,64,45,11,0,497,18,19255,6649
50,15,39,44,11,5,953,18,10679,23702
51,21,129,84,11,3,662,18,16761,14448
52,18,39,0,7,7,1083,18,10741,43836
53,17,42,50,5,16,910,18,2228,91034
54,10,32,24,10,6,596,18,7094,44478
55,28,126,49,7,3,566,18,10324,9556
56,17,41,25,5,4,639,18,10001,22696
57,19,35,62,8,12,1276,18,26456,61378
58,12,29,17,4,22,974,18,13014,64310
59,19,86,59,13,3,488,18,29642,20123
60,13,22,89,5,11,825,18,7075,43444
61,14,76,30,8,8,725,18,17234,25711
62,13,28,5,8,10,1233,18,8180,33614
63,11,62,22,4,20,1181,18,7232,46257
64,22,59,46,6,6,1415,18,5349,21062
65,19,66,41,5,3,646,18,5540,9628
66,6,18,17,10,11,613,18,11358,42328
67,13,21,22,7,6,1027,18,5240,28057
68,7,24,17,25,5,251,18,5146,32175
69,12,45,11,8,4,721,18,10552,22003
70,5,16,4,13,15,577,18,1954,47069
71,15,17,91,7,0,672,18,13668,21167
72,4,45,26,8,24,900,18,5740,52008
73,27,30,87,5,2,836,18,41083,14728
74,14,29,8,8,8,467,18,13885,28439
75,10,26,23,13,6,572,17,15650,31191
76,12,21,9,9,7,768,18,4741,33093
77,17,25,53,7,13,1037,18,9644,37043
78,12,35,68,13,1,702,17,16197,13490
79,7,31,29,7,14,1173,18,3618,46763
80,9,6,92,11,3,652,18,30691,27320
81,4,16,28,20,9,190,17,4588,26317
82,7,38,9,13,5,639,17,13252,18794
83,14,27,51,12,0,474,16,10485,6481
84,4,41,0,11,14,643,18,4777,41593
85,29,8,121,3,12,908,18,7069,31141
86,18,45,54,5,17,1226,18,12196,33913
87,38,68,75,4,8,805,18,6911,14653
88,8,12,9,13,12,292,18,1452,30132
89,14,14,36,6,18,888,18,3297,55149
90,16,33,58,11,13,715,18,7361,60344
91,14,21,48,4,10,987,18,15382,24546
92,25,112,81,5,4,838,18,29193,21096
93,16,30,74,8,3,848,18,4652,24604
94,10,9,47,13,15,946,18,3688,39468
95,12,25,69,9,10,624,18,15912,35736
96,13,41,31,6,9,1731,18,12076,32780
97,24,53,64,8,0,944,17,22431,13851
98,7,9,25,14,3,605,18,11149,15356
99,9,17,23,8,18,971,18,1435,61899
100,20,12,5,8,3,758,18,9311,31061
101,26,23,51,12,9,534,18,32599,33691
102,13,11,20,12,18,462,18,5044,53343
103,21,33,70,10,15,865,18,3106,69984
104,11,42,49,14,11,398,18,4338,47042
105,10,30,36,16,8,359,18,3801,18899
106,11,24,55,9,18,665,18,5632,53842
107,16,55,16,8,12,522,18,8621,39928
108,11,29,28,12,13,539,18,5533,43024
109,25,21,119,11,5,527,18,22716,27917
110,14,66,36,8,3,665,17,3839,9555
111,7,45,51,17,11,296,18,886,34423
112,10,33,8,10,10,638,18,11050,35905
113,9,30,18,10,4,494,17,8920,12212
114,9,27,15,12,7,350,18,4046,24184
115,12,48,13,5,9,683,18,7849,29156
116,16,89,128,4,5,902,18,16182,15825
117,7,44,18,10,9,597,18,10536,23139
118,15,33,42,4,24,751,18,5833,67173
119,7,31,15,13,10,371,18,8998,27848
120,30,30,167,12,4,537,18,33891,37207
121,15,71,4,6,18,553,18,14947,62066
122,2,19,1,1,9,617,9,1698,9155
